TotalTime,PictureClicks,PictureTime,PictureDwelling,SummaryClicks,SummaryTime,SummaryDwelling,DescriptionClicks,DescriptionTime,DescriptionDwelling,ReviewClicks,ReviewTime,ReviewDwelling,Return
10881,0,3295,3295,2,12570,5693,1,7674,3627,5,13625,11667,0
44336,4,27938,9893,3,8010,5528,2,18909,5139,11,29165,19905,0
57816,5,11908,6667,3,20748,3293,2,8852,4629,3,5233,5233,0
38477,1,8607,8607,3,16608,16608,1,6341,6341,0,16129,1732,1
77720,3,899,899,6,8217,7696,2,5563,5563,0,11486,3747,1
23603,3,21169,20686,2,18289,5427,1,9650,5168,5,29398,13943,0
32201,5,24800,21662,3,10239,6358,2,4728,4728,12,14809,14809,0
8176,4,2824,481,4,26457,26457,2,10044,7754,1,12903,9895,1
50577,3,13346,13346,3,26651,5958,1,14976,9826,10,27801,23691,0
71651,5,13708,13708,3,14354,4950,3,16221,15551,11,13726,10892,0
44661,5,22856,11223,2,17541,8784,3,17397,16434,12,17500,17500,0
65579,5,5770,5770,3,15557,3896,2,5209,5209,15,20636,20636,0
23228,4,6804,6804,6,16769,8290,1,12954,699,1,2372,2372,1
74684,4,26296,26296,2,28001,5861,2,7675,7675,5,28934,28000,0
31246,5,26171,17633,2,28694,6792,1,12966,12966,9,9329,9329,0
10133,1,4438,4438,4,17390,7357,0,691,691,1,17197,1664,1
41084,4,13591,12552,5,19333,15822,1,8024,7096,3,4611,2159,1
4221,4,212,134,6,12481,11651,2,5078,3502,3,4279,4279,1
25519,4,17819,3399,6,23221,23221,0,8762,8516,0,1595,1595,1
42457,2,27274,4877,4,21270,7640,5,10946,2421,13,27267,15337,0
32855,5,11343,11343,2,7023,7023,3,4954,4954,7,28397,22283,0
38933,3,19730,4581,3,17073,6399,1,8074,4619,3,10221,714,1
44581,1,14578,11019,6,19576,19576,2,3599,3599,0,8110,4608,1
9078,4,13344,13344,3,25254,25254,0,9065,9065,3,15474,2206,1
21148,3,6386,5295,5,19451,10857,2,1600,1600,0,13380,5334,1
5532,1,5294,4077,4,8687,2205,2,13212,2953,3,14764,9109,1
28063,3,17003,16574,5,28775,28775,1,10517,4909,0,9851,3900,1
12562,0,203,203,3,12495,11530,2,9286,9286,2,12844,5188,1
14380,0,21564,16536,0,20893,4474,0,14595,14595,13,7326,7326,0
22803,4,8967,5251,4,11480,3175,2,8979,3245,2,11380,4766,1
15596,1,17047,718,6,4189,1555,1,13083,8880,0,747,747,1
3095,0,13746,13746,5,23180,23180,2,647,647,2,9459,3939,1
51420,5,12985,12985,2,16821,5093,3,11149,11149,11,14902,14902,0
57067,3,21638,21638,2,20130,6299,3,4619,4619,8,12570,12570,0
5014,0,14931,7269,3,15592,15592,0,11192,5646,0,1769,1769,1
42080,3,17204,6043,3,27857,7676,2,5816,5816,15,18351,18351,0
13562,2,12760,1709,4,15183,15183,0,2468,2468,3,18784,9343,1
77911,3,22925,22925,3,25697,8495,1,13366,13366,9,15412,15412,0
41694,4,1700,1700,4,5625,522,0,10895,671,2,425,246,1
39928,1,7408,490,6,18482,18482,1,781,781,2,2260,1018,1
6843,2,854,854,5,28188,28188,2,182,182,0,19681,9504,1
39177,3,27072,24129,3,8269,8269,2,13659,13659,5,24836,14315,0
31647,5,7209,7209,3,6582,6582,1,12208,11535,15,12334,8593,0
39342,3,7438,4843,4,20848,20848,1,3668,353,3,18105,9307,1
7549,4,17698,6593,4,29218,29218,1,14141,5544,1,17611,7271,1
51771,4,19798,19798,2,6157,5088,2,19182,13519,11,28577,21244,0
54877,3,24172,18993,2,7263,3123,1,10100,10100,4,10756,10756,0
52523,3,10646,10646,2,10964,3142,1,6615,6615,10,29488,14402,0
16735,4,16495,2418,6,16621,16621,0,1377,1377,3,6163,6163,1
37854,3,15782,15782,3,20963,4090,3,9295,9295,11,6647,6647,0
28104,4,19854,12609,3,11564,6353,3,4979,4979,7,9616,9616,0
71394,3,17994,14706,4,22568,2716,4,10579,10579,2,20417,14438,0
30177,2,18129,18129,4,10085,2815,2,948,948,0,10898,7163,1
21660,3,14407,9519,4,2500,1120,2,9971,3722,3,7036,1473,1
10082,0,13575,4773,6,13251,13127,1,10746,9973,2,9552,8579,1
40778,1,9292,5734,3,19810,9480,2,13129,8077,3,18580,5644,1
5043,3,15524,6667,6,10873,8318,1,390,390,2,3733,2340,1
49650,3,3778,3778,2,20710,6651,5,16404,12689,8,9966,9966,0
19543,4,5160,5160,5,11304,11304,1,2905,73,3,12305,2409,1
11709,5,24618,8507,5,22242,9188,3,2681,2681,10,11089,11089,1
35893,3,12299,12299,3,5807,5807,2,5377,5377,5,26333,6698,0
22631,0,23269,23269,2,26795,953,4,7905,3524,8,29458,929,0
29215,3,23533,23533,2,12353,7420,1,8286,6605,14,15274,1533,0
32702,2,14547,6879,4,8568,6494,1,9778,6707,2,17296,592,1
36982,1,11884,9634,6,10053,10053,0,13762,8050,1,6193,6193,1
37963,5,18127,9793,2,24420,6139,1,16548,10060,3,20789,20789,0
14323,4,922,922,4,12164,12164,2,4112,2791,2,513,513,1
26580,5,28262,13657,3,17946,6686,2,9234,9002,14,12882,12882,0
21786,3,28006,2619,0,25095,6291,3,978,978,9,7547,7547,0
59821,3,18531,17235,2,18615,7169,2,10850,10850,13,14669,14669,0
6836,3,13332,13332,4,846,846,5,18720,5286,14,12248,12248,1
46587,3,8511,8511,2,6765,3419,1,17213,7838,7,27060,26936,0
33298,1,4282,4282,3,19975,10862,0,6783,1932,2,3869,195,1
984,2,12172,8403,4,9811,2342,5,15133,9935,10,3170,3170,0
78952,3,25337,25337,3,17886,3699,3,4690,4690,12,28017,8837,0
71349,5,21698,10098,3,14387,4786,2,4196,4196,15,20807,20807,0
50177,5,27612,27612,4,21728,1619,3,8122,8122,0,2655,2655,1
30646,5,17900,17900,3,24582,8732,1,14899,7510,8,17303,8201,0
61785,4,21892,20579,2,26746,8224,2,16124,16124,5,11458,11458,0
19130,1,10432,10432,6,9845,3767,4,6437,6437,1,7372,7372,1
20338,2,4186,4186,3,19166,9972,0,7177,4462,3,17345,2250,1
43409,3,17469,17469,2,15771,7330,2,6324,4389,2,7411,7411,0
57933,4,7152,7152,3,19258,9302,3,8080,8080,7,28426,6421,0
11854,1,1409,1409,3,17079,10232,2,2705,2705,1,12223,5530,1
54616,5,16663,9870,3,19637,5497,2,15345,10268,5,28407,12448,0
28900,3,13414,13414,3,17786,6142,3,10849,5343,13,27634,25152,0
79418,3,21914,20207,2,14377,7749,2,9930,9930,2,8153,8153,0
44768,0,7278,7278,4,22620,517,1,11889,2955,5,11013,11013,1
78639,5,18315,16134,2,18738,9184,2,14846,8362,10,4021,4021,0
34797,4,10418,10418,4,17072,17072,0,10562,2413,1,7749,2804,1
79246,4,29207,26348,3,11607,8446,3,6778,6778,11,25102,25102,0
11902,0,17481,12742,6,27221,27221,0,13444,6807,1,6401,1919,1
79551,4,8431,7771,2,27202,8729,1,5834,5370,13,12246,12246,0
78199,4,28046,27821,2,29977,7000,2,6911,6911,6,18063,18063,0
40909,3,5855,5855,2,20916,3403,3,19822,17899,10,26912,7600,0
38276,4,19686,19686,3,12169,3528,3,8417,8417,9,10050,10050,0
16743,0,18475,8598,6,17160,6931,5,2524,2524,13,27471,10376,1
57836,3,18413,12169,3,17904,8912,1,12697,10737,2,14534,7131,0
70934,0,21028,21028,4,5185,5185,0,8443,8443,1,8733,8733,1
22370,3,13788,6578,3,26696,5779,1,4126,4126,13,11853,11853,0
23015,0,1868,1868,6,21833,21833,2,3078,3078,2,17547,4538,1
6521,3,1167,1167,4,25445,25445,2,7260,6794,1,4962,4962,1
12371,1,4774,4774,4,8027,8027,0,259,259,1,6030,6030,1
73691,5,24241,24235,3,24746,9039,2,10236,10236,5,13326,13326,0
28639,4,2914,2914,3,24034,4419,0,11878,749,10,15156,13740,1
7408,1,12187,11830,6,2212,2212,0,8066,4004,14,21654,14067,0
26970,5,6153,6153,3,22017,6911,1,12134,10609,3,21915,21915,0
9942,2,11038,11038,6,25679,25679,2,93,93,1,15627,5253,1
34246,4,20606,20606,2,19189,3665,1,10710,10710,13,21718,8655,0
38986,3,6266,6266,2,13886,9526,3,17261,13711,2,28087,26883,0
22399,2,12012,12012,5,29881,29881,2,4572,4572,0,13314,3336,1
5430,2,16718,9049,0,3581,2589,0,1381,1381,8,18854,12823,1
14185,1,708,708,6,23064,23064,2,9444,9444,1,19933,6610,1
20089,3,187,187,3,25192,25192,0,14561,553,2,1419,1419,1
35100,2,2930,2930,3,15075,15075,1,12830,558,3,7226,7226,1
57602,3,24648,17495,3,16886,9557,1,9382,9382,3,5501,5501,0
23754,5,29545,29484,2,24675,5607,2,15955,15955,14,22561,22561,0
40745,4,26762,19900,2,11992,3182,3,14782,13626,3,29339,4023,0
38099,4,9935,9849,3,28989,3594,1,15100,13457,6,7169,7169,0
67940,3,9470,9470,3,21891,9562,2,10049,10049,9,29352,29352,0
26634,3,29793,10792,2,26396,7510,2,14360,14360,12,20443,18616,0
62033,5,6544,786,0,15755,2519,3,5296,5296,5,23422,21064,0
29899,5,28695,13846,3,9276,8046,1,18477,10449,12,8184,4134,0
44823,4,5468,5468,5,14494,14494,1,13574,6635,1,11825,8304,1
49450,2,21732,808,3,9055,22,1,4749,4749,10,27170,5587,1
6784,4,12334,12334,3,22567,22567,1,9040,5526,0,9944,3983,1
74716,5,10715,10715,2,10801,4205,1,15067,11790,5,11856,11856,0
40422,1,9630,1829,4,11778,9452,2,2072,2072,0,24,24,1
24421,4,24830,18367,3,28772,6480,2,14500,10031,2,16366,6273,0
18525,4,28455,24408,0,17480,4388,0,9032,9032,0,16570,7118,1
50854,3,28151,22738,3,27478,3889,2,6606,6606,5,5466,5466,0
12716,2,10741,10741,3,10112,10112,2,12513,5012,0,16054,3212,1
58450,5,26966,26424,2,13771,6115,2,15562,15562,13,15719,15719,0
14219,3,13186,7283,5,4063,1253,1,11343,2682,0,6009,3214,1
29374,2,16818,6650,6,9009,2958,2,11517,7837,0,3587,3587,1
56978,5,14689,12484,6,24172,1983,1,14568,12755,5,11077,11077,1
37034,0,6214,6214,4,22631,22631,2,7219,7137,1,4016,4016,1
71509,4,20347,7428,6,27770,4144,5,16233,2151,6,25292,25292,1
12197,2,2781,2781,5,29090,29090,0,10255,7805,2,6940,721,1
74182,4,24084,5047,2,11632,3197,2,4695,4695,9,13816,5430,0
8432,4,18877,13968,5,14029,10015,0,3395,1203,1,7748,2284,1
62399,0,4506,4506,5,5522,5522,5,6560,6560,1,25643,6430,1
58642,4,14937,14937,2,23295,4898,1,5774,5774,14,27039,15290,0
34494,4,11907,613,3,14839,14839,0,7307,3464,1,9749,8707,1
19325,2,3659,3659,6,27201,27201,1,8800,5476,3,1007,1007,1
23038,0,27688,21499,5,20182,9781,3,7963,7963,4,12502,11067,1
26640,1,1830,1830,3,22302,22302,0,10574,538,3,6720,1501,1
23698,0,15816,4506,5,25794,25794,2,671,671,1,19758,8111,1
50843,4,8000,5017,2,19479,6108,2,9229,9229,10,29721,9951,0
30215,3,3592,3592,4,5842,2263,1,1986,1986,2,15692,1962,1
43414,0,4810,4810,5,17682,17682,1,9431,4647,1,14402,5754,1
27593,1,12799,4567,3,5305,59,0,11681,935,11,26129,9117,1
35963,4,17054,11882,3,22329,22329,2,403,403,3,16163,3462,1
26679,5,27193,20735,1,13128,5604,0,10707,10707,4,21202,12241,0
53671,0,3824,3824,1,25460,8118,0,11566,728,0,1843,1843,1
39145,0,1647,1647,5,17886,17886,0,4434,2141,1,9996,7836,1
59561,4,26693,6873,3,21411,8250,3,17015,12878,10,9740,4626,0
17663,0,17322,510,5,9951,628,0,6048,6048,1,3245,3245,1
8368,0,14288,14288,6,8854,3936,0,9464,2751,1,11845,3450,1
49453,3,25756,25756,2,29393,3052,1,10618,10618,12,11749,11749,0
34898,3,25737,16013,3,14109,5946,3,6998,6998,12,29765,19319,0
9439,1,806,806,3,10427,10427,1,12260,7131,2,1146,160,1
38821,4,23552,5745,2,28747,4125,1,17641,7804,12,6475,6475,0
61277,4,20318,14632,3,28171,8169,3,7256,7256,6,4524,4524,0
62729,5,16070,16070,3,16850,7175,3,15474,12661,5,8656,8526,0
78965,4,15702,14519,2,28875,8242,2,5939,5939,9,7876,7876,0
33772,3,17093,1805,3,6353,6353,0,788,788,3,8640,4346,1
42739,2,3561,973,6,23599,23599,2,12211,4968,2,15837,131,1
22614,2,12680,9808,5,22417,22417,2,7162,495,2,18304,5700,1
58263,2,17970,4509,4,16998,2059,4,6152,6152,14,4538,4538,1
33630,1,6683,1620,6,3478,862,2,9240,5551,3,15490,9750,1
75919,5,5939,5939,3,19927,7716,1,8468,5785,4,20472,4828,0
60361,5,24535,16313,2,28074,7741,3,12531,12531,8,6669,6669,0
40258,2,19435,3725,6,15933,15933,2,5103,486,2,18939,6676,1
29084,1,6707,6707,3,16021,16021,1,8943,6678,3,11167,4987,1
53648,4,21324,20437,3,15818,6089,1,16578,16578,8,8970,8970,0
57547,4,8289,8062,3,10047,6007,1,11264,7788,13,21710,12419,0
23756,1,11813,1479,5,16367,9120,0,5077,5077,2,14978,2785,1
9488,4,1044,1044,5,28480,28480,1,2434,2434,3,5552,5552,1
70394,3,19923,19923,4,29066,1426,5,3850,3850,4,6925,6925,1
8154,0,10747,4519,3,11525,6944,2,1362,1362,2,16527,1555,1
55338,3,10423,8036,2,11529,3338,1,16452,16452,9,26344,26344,0
32472,4,10041,7399,3,22862,5422,1,14258,14258,7,10866,9706,0
40222,2,8794,8580,6,28646,28646,1,5907,1524,3,2163,2163,1
23115,5,7469,7469,2,8940,4960,2,18958,18958,8,14911,4776,0
38320,0,11517,11517,3,9808,9808,2,5433,1678,3,5516,4998,1
77473,5,11350,8305,4,29781,2680,0,6096,4738,5,6083,6083,0
27175,4,9695,1492,3,26263,26263,0,9507,1923,2,283,283,1
39657,2,8725,8725,6,13324,4588,2,9815,1268,3,4196,767,1
30640,5,11084,11084,3,8447,4895,2,15673,11870,11,7029,7029,0
77898,4,15470,15470,3,28847,5383,1,12879,12060,15,9253,9253,0
34101,5,20376,10770,2,9116,5193,3,8233,8233,6,7911,7911,0
75528,5,14737,14737,2,7510,6883,1,16755,16755,6,28875,18211,0
7789,5,8735,8735,6,1772,1772,3,15949,14349,11,13212,13212,0
35913,2,19873,14839,6,15812,11013,1,14560,5374,2,3998,3566,1
42384,0,15594,8858,3,20218,20218,2,1055,1055,0,3823,3823,1
9432,2,19943,16908,5,18213,7753,1,12198,7608,3,4819,3949,1
20200,0,9660,8461,3,14633,619,0,13390,8747,3,18352,3312,1
70813,4,12022,12022,3,6720,6720,1,13682,13682,3,27673,24907,0
6708,2,24327,1662,3,27695,6837,4,2167,2167,6,4163,4163,1
33267,4,11643,11643,2,5117,5117,1,14595,14595,6,14495,8746,0
43683,1,18793,11726,3,21167,21167,2,7115,3569,2,13843,7785,1
32668,0,753,753,5,15983,3893,1,1254,1254,0,17545,1340,1
12795,2,18636,14261,6,18738,10092,1,1346,1346,3,15384,5681,1
23943,3,10539,7759,3,6101,6101,1,4503,4503,4,14728,14728,0
30781,5,13149,11594,3,22276,7969,1,9605,4788,3,14044,12810,0
50629,5,7688,7688,3,15027,7729,3,11618,11618,3,16134,7092,0
32248,5,7230,7230,3,6570,5155,2,13393,7223,3,9608,9608,0
28830,3,9523,9523,5,19897,1591,1,545,545,2,13748,6678,1
55006,1,27928,21414,4,10759,5567,5,5126,5126,7,13872,13872,1
77011,4,13114,11692,2,25553,9175,2,18011,9790,10,5192,5192,0
19558,2,2907,2907,4,20707,20707,1,5875,567,3,16233,832,1
47161,5,14677,461,1,12318,402,4,14260,12044,12,16234,7296,0
161,2,27015,11750,4,22879,3135,0,383,383,8,3213,3213,1
12282,0,17344,17344,6,19381,19381,1,14065,6852,3,18168,298,1
17079,4,8102,7390,4,6648,6648,0,5616,633,0,18336,3138,1
31084,0,19650,936,3,24052,24052,1,9411,9411,2,12707,8907,1
56652,4,6516,6516,3,7401,7401,2,16115,7203,10,27562,22265,0
14466,3,8141,1641,6,22673,22673,1,4252,4252,0,12803,7830,1
11210,2,2041,2041,3,26318,9262,5,15585,15585,12,12553,12553,1
25237,3,26944,23243,3,29958,6585,1,17340,9427,13,16484,16484,0
20300,3,6757,6757,3,29626,29626,0,6529,1156,3,5039,1872,1
10051,1,17649,1527,6,24741,24741,2,2225,79,0,6786,6786,1
77851,5,24464,22700,2,27382,7576,3,9161,9161,7,16644,16644,0
32775,3,11757,8524,3,5380,5380,3,11688,7396,5,15040,15040,0
8732,0,11087,11087,6,17862,17862,1,4445,4445,2,6471,5815,1
61319,4,15209,10520,3,7887,7887,1,4004,4004,10,22158,20660,0
58116,5,10837,10837,3,12291,5948,5,17745,17745,8,5324,5324,0
20597,3,6986,6986,3,28829,28829,2,12040,2447,2,2349,1256,1
17946,3,18660,16048,3,9281,9281,0,11177,6732,0,9105,8309,1
48009,1,27431,27126,5,11071,4389,2,18231,18231,1,14035,2017,0
25507,4,2488,2488,6,23126,23126,1,13,13,2,8879,8879,1
56757,5,21239,21239,3,20450,9999,3,11237,11237,11,16821,16821,0
72069,5,12011,5120,2,28264,5549,2,4649,4649,3,6927,6927,0
22762,4,8560,8560,2,19596,6486,1,13498,9590,11,9603,9603,0
19637,0,964,964,2,2881,983,4,4215,4215,11,26874,9811,0
54979,5,7377,7377,2,17459,9984,1,18588,16993,3,9908,9908,0
57230,3,21291,15909,2,23924,3062,2,8408,8408,13,23095,5716,0
45775,4,9162,9162,2,25406,7273,2,10476,10476,8,16401,8436,0
53087,3,12870,6232,3,19202,4374,1,14849,10189,8,19757,16570,0
30963,3,23003,22509,2,5391,5391,1,16569,8090,14,28790,19309,0
35295,4,25809,25809,2,17076,8489,3,15498,15498,12,14852,14852,0
34899,4,9542,9542,3,29263,7089,1,7843,7843,5,15197,5009,0
50041,1,26284,3377,2,15768,5430,1,10282,6801,6,23290,14600,1
34202,1,19019,17486,4,12354,10656,2,1655,1655,0,15817,1127,1
11968,0,15920,6629,4,16724,16724,2,14065,2653,3,13052,8427,1
25597,4,6281,6281,5,18545,5269,2,3463,3463,0,6794,3708,1
70162,3,19064,19064,3,14541,5525,2,5156,5156,14,17277,17277,0
61928,4,16594,16594,2,11322,9927,2,8383,8383,6,29897,12547,0
637,4,24592,16080,2,16332,9973,5,13569,6765,7,18882,4072,1
26882,3,7396,7396,3,7000,7000,1,11128,11128,2,12084,12084,0
55345,5,15449,15449,3,12303,9028,1,13459,6307,3,23470,23470,0
31010,4,12871,12871,2,20275,6336,1,17442,11711,15,15270,11792,0
36857,4,18308,9479,5,19420,1062,0,11822,7467,2,10278,7109,1
15003,4,19868,13188,3,27868,27868,1,4870,646,0,282,282,1
3504,2,4896,3515,3,3277,3277,1,9306,8699,3,19519,8649,1
9977,5,12100,12100,5,26783,6648,1,2858,2858,9,21783,21783,0
23101,3,21831,18145,3,23357,6405,2,16261,5860,6,12567,12567,0
69684,5,13513,13513,2,22669,9171,2,12641,7640,10,17945,9649,0
20897,1,17705,13485,5,27130,27130,1,3405,3405,0,13194,5330,1
38609,1,18505,15043,5,13691,8316,1,11153,9894,0,18822,3039,1
1484,3,20095,18799,4,24294,9347,3,12864,2303,8,21844,207,0
20174,3,11699,8303,5,17050,17050,2,10700,7279,2,17489,7028,1
57196,5,487,487,3,27072,1716,0,15315,14780,12,18384,18384,0
46834,5,17563,17563,2,23798,7674,1,14312,6493,5,9367,9367,0
24308,3,9075,9075,6,7101,7101,1,7827,4393,1,18360,7425,1
37489,4,1653,1653,3,14645,11712,2,663,663,0,6272,4175,1
15526,4,2328,2328,5,11764,11764,1,688,688,0,17341,5357,1
