TotalTime,PictureClicks,PictureTime,DescriptionClicks,DescriptionTime,ReviewClicks,ReviewTime,DwellingTime,Return
43682,5,22019,0,13399,1,208,10775,0
45548,4,17056,2,4119,2,9352,14160,0
5997,0,19708,2,2289,0,11456,12365,1
35823,3,13301,1,15177,10,3907,7256,0
3900,3,17657,2,8512,3,3223,2646,1
39157,4,17194,2,15666,7,24577,17194,0
20743,5,5492,2,9676,9,10365,5492,0
45571,2,24550,2,9875,10,2556,10775,0
8396,2,2449,3,5917,13,9662,27,1
65146,5,14177,3,4338,3,6983,13678,0
35998,4,7316,2,9089,3,10250,6286,1
62622,3,17174,2,15381,7,21877,17174,0
25310,0,7693,1,1447,3,1999,7693,1
13027,2,6686,1,4251,2,11511,6686,1
14763,0,10810,3,6124,9,28288,10775,0
30608,5,14076,2,18404,10,14713,14076,0
36546,2,16901,0,14368,3,3717,13803,1
69753,0,11067,3,7336,11,15414,10775,1
37724,3,18705,2,13825,1,13263,329,1
5654,0,2680,0,14411,3,2787,2680,1
43953,2,17563,1,10444,0,5389,3339,1
69191,4,6305,1,16167,7,15203,10775,0
32910,2,29333,3,19753,3,7221,10775,0
39824,4,16222,0,3347,1,13437,10274,1
30545,4,25866,2,16960,2,5547,16331,0
57447,0,12070,2,5961,12,16169,6447,1
17650,3,10966,2,11899,2,1780,10966,1
28727,2,3746,2,409,0,3518,3746,1
30714,3,17561,3,12087,15,23925,17561,0
39095,2,6328,2,3754,1,3437,6328,1
32810,3,17132,1,316,0,14615,13595,1
40047,4,25413,3,10614,3,16716,23969,0
12597,4,7944,0,14046,3,10910,7666,1
65052,3,24481,1,9822,14,8702,7801,0
34239,5,16505,1,15249,2,7279,7390,0
44826,3,22011,3,17549,11,7226,15800,0
12011,4,4197,1,7992,2,14850,3872,1
33712,3,22604,0,403,4,17098,10775,0
58224,3,7724,1,6830,14,12992,7724,0
69055,3,15491,1,7946,14,7539,5460,0
39875,4,11585,2,14415,0,8575,11585,1
62250,4,11226,2,11011,11,13254,11226,0
23236,2,5591,1,13220,2,2411,5591,1
28941,1,19106,2,12049,1,12615,9427,1
51932,1,4314,2,14932,6,1106,5232,0
25980,3,4174,1,13916,0,13478,4174,1
40310,4,13810,2,7135,2,9646,13810,0
20646,3,13492,2,2821,2,6356,6434,1
47854,3,17020,1,16166,8,25242,17020,0
20633,4,10648,1,8593,3,13896,10648,1
25398,2,6500,1,74,0,3829,5780,1
69311,3,18463,2,19571,13,28293,18463,0
21389,3,1782,0,2657,3,545,1782,1
29393,4,26251,3,5626,15,7761,5358,0
25294,3,17943,0,14993,11,10250,10775,1
14417,1,3088,0,4356,3,4937,3088,1
5669,1,18702,2,7464,2,9210,492,1
27165,2,12145,2,72,2,10288,7651,1
41135,0,17561,3,2290,10,16985,10775,1
36981,5,17047,3,11690,9,13319,17047,0
22242,4,691,0,9172,2,2784,691,1
18452,0,4925,1,8678,3,7061,4925,1
21928,3,16424,3,6871,4,22793,14317,0
28452,5,9913,2,4958,4,7561,9913,0
31633,4,17750,1,13688,13,22833,5879,0
44329,4,13205,0,7620,1,8092,13205,1
